issn_input_cr,title_cr,publisher_cr,total_dois_cr
2078-5135,South African Medical Journal,South African Medical Association NPC,4104
0256-9574,South African Medical Journal,South African Medical Association NPC,4104
2309-4605,South Sudan Medical Journal,African Journals Online,8
2309-4613,South Sudan Medical Journal,African Journals Online,8
1561-896X,NA,NA,NA
1998-8125,Southern African Business Review,UNISA Press,119
2220-1181,Southern African Journal of Anaesthesia and Analgesia,Medpharm Publications,1039
2220-1173,Southern African Journal of Anaesthesia and Analgesia,Medpharm Publications,1039
1562-8264,Southern African Journal of Critical Care,South African Medical Association NPC,151
2078-676X,Southern African Journal of Critical Care,South African Medical Association NPC,151
1810-0333,Southern African Journal of Environmental Education,African Journals Online,50
2411-5959,Southern African Journal of Environmental Education,African Journals Online,50
1608-9693,Southern African Journal of HIV Medicine,AOSIS,726
2078-6751,Southern African Journal of HIV Medicine,AOSIS,726
1027-3417,Stellenbosch Papers in Linguistics,Stellenbosch University - SPIL,196
2223-9936,Stellenbosch Papers in Linguistics,Stellenbosch University - SPIL,196
2224-3380,Stellenbosch Papers in Linguistics Plus,Stellenbosch University - SPILPlus,447
1858-5051,Sudan Journal of Medical Sciences,Knowledge E,469
1111-4924,Synthèse Revue des Sciences et de la Technologie,TechKnowledge General Trading LLC,53
2352-9717,NA,NA,NA
0856-0625,Tanzania Dental Journal,African Journals Online,58
1821-6404,Tanzania Journal of Health Research,African Journals Online,569
1821-9241,NA,NA,NA
0856-1761,Tanzania Journal of Science,African Journals Online,278
2507-7961,NA,NA,NA
0189-5117,Tropical Journal of Obstetrics and Gynaecology,Medknow Publications,490
1596-5996,Tropical Journal of Pharmaceutical Research,African Journals Online,3147
1596-9827,Tropical Journal of Pharmaceutical Research,African Journals Online,3147
0041-476X,Tydskrif vir letterkunde,Academy of Science of South Africa,1095
2309-9070,NA,NA,NA
1595-1413,UJAH Unizik Journal of Arts and Humanities,African Journals Online,311
0856-1818,University of Dar es Salaam Library Journal,African Journals Online,93
1606-7479,Vulture News,African Journals Online,128
0378-4738,Water SA,Academy of Science of South Africa,1401
0855-4307,West African Journal of Applied Ecology,African Journals Online,194
1116-5405,NA,NA,NA
0856-860X,Western Indian Ocean Journal of Marine Science,African Journals Online,214
1024-0969,African Anthropologist,African Journals Online,70
1119-023X,African Journal of Applied Zoology and Environmental Biology,African Journals Online,45
1116-6495,African Journal of Endocrinology and Metabolism,African Journals Online,9
1022-9272,African Journal of Health Sciences,African Journals Online,125
0850-7902,African Journal of International Affairs,African Journals Online,60
1994-8220,African Journal of Psychiatry,OMICS Publishing Group,494
1607-9949,African Journal of Science and Technology,African Journals Online,152
2141-162X,NA,NA,NA
1596-3519,Annals of African Medicine,Medknow Publications,662
1858-554X,Arab Journal of Nephrology and Transplantation,African Journals Online,62
0795-0268,Benin Journal of Postgraduate Medicine,African Journals Online,69
1596-7409,Bio-Research,African Journals Online,315
0795-8080,Biokemistri,African Journals Online,85
1810-0163,Botswana Journal of Economics,African Journals Online,17
1812-5840,Clinics in Mother and Child Health,OMICS Publishing Group,224
2090-7214,Clinics in Mother and Child Health,OMICS Publishing Group,224
0256-2170,NA,NA,NA
2078-5143,NA,NA,NA
0856-7212,Dar Es Salaam Medical Students Journal,African Journals Online,68
1992-0407,East African Journal of Sciences,African Journals Online,92
1026-552X,East and Central African Journal of Pharmaceutical Sciences,African Journals Online,92
2006-7593,Edo Journal of Counselling,African Journals Online,59
1110-6859,Egyptian Journal of Biology,African Journals Online,37
1110-6867,Egyptian Journal of Natural History,African Journals Online,13
2311-9772,Ethiopian Journal of Business and Economics (The),African Journals Online,30
2410-2393,Ethiopian Journal of Business and Economics (The),African Journals Online,30
1993-3681,Ethiopian Journal of Economics,African Journals Online,38
1597-8826,FUTY Journal of the Environment,African Journals Online,70
1596-2903,Global Journal of Agricultural Sciences,African Journals Online,360
1597-9857,Global Journal of Community Medicine,African Journals Online,11
1596-6194,Global Journal of Environmental Sciences,African Journals Online,145
1596-6232,Global Journal of Humanities,African Journals Online,51
1596-6208,Global Journal of Mathematical Sciences,African Journals Online,145
1596-2911,Global Journal of Medical Sciences,African Journals Online,98
1596-5422,Information Manager (The),African Journals Online,36
0331-5428,NA,NA,NA
2315-6562,NA,NA,NA
2384-6828,NA,NA,NA
1596-9819,International Journal of Health Research,African Journals Online,106
2315-537X,NA,NA,NA
2384-6836,NA,NA,NA
2277-0941,International Journal of Medicine and Biomedical Research,Michael Joanna Publications,155
2315-5019,International Journal of Medicine and Biomedical Research,Michael Joanna Publications,155
1595-7470,Journal of Agriculture and Social Research (JASR),African Journals Online,201
2077-3420,Journal of Business and Administrative Studies,African Journals Online,13
1028-6098,Journal of Food Technology in Africa,African Journals Online,98
0855-6660,Journal of Philosophy and Culture,African Journals Online,34
2006-8808,Journal of Surgical Technique and Case Report,CLOCKSS Archive,164
1998-6017,Journal of the Eritrean Medical Association,African Journals Online,61
0795-0039,Journal of the Nigerian Optometric Association,African Journals Online,75
1737-7803,Journal Tunisien d ORL et de Chirurgie Cervico-Faciale,African Journals Online,128
1019-7079,Malawi Journal of Science and Technology,African Journals Online,12
1595-1103,Nigerian Journal of Surgical Research,CLOCKSS Archive,268
2226-728X,Rwanda Journal of Health Sciences,African Journals Online,5
1596-5414,Samaru Journal of Information Studies,African Journals Online,45
1812-0741,Sciences & Nature,African Journals Online,78
0379-2897,SINET Ethiopian Journal of Science,African Journals Online,277
2520–7997,NA,NA,NA
1819-3692,Southern Africa Journal of Education Science and Technology,African Journals Online,43
0855-9449,Studies in Gender and Development in Africa,African Journals Online,15
0251-043X,Thought and Practice,African Journals Online,68
2076-7714,Thought and Practice,African Journals Online,68
1012-280X,Town and Regional Planning,Sun Media Bloemfontein Pty Ltd,99
2415-0495,Town and Regional Planning,Sun Media Bloemfontein Pty Ltd,99
1026-0919,Uganda Journal of Agricultural Sciences,African Journals Online,64
2410-6909,Uganda Journal of Agricultural Sciences,African Journals Online,64
1694-0342,University of Mauritius Research Journal,African Journals Online,5
0189-160X,West African Journal of Medicine,African Journals Online,522
0514-6216,NA,NA,NA
2707-7209,NA,NA,NA
