Journal title,Journal URL,ISSN,eISSN,Publisher,JPPS rating,Notes,in DOAJ
Nigerian Journal of Surgical Research,https://www.ajol.info/index.php/njsr,,1595-1103,,INACTIVE-TITLE,,
Rwanda Journal of Health Sciences,https://www.ajol.info/index.php/rjhs,2226-728X,,,INACTIVE-TITLE,,
Samaru Journal of Information Studies,https://www.ajol.info/index.php/sjis,,1596-5414,,INACTIVE-TITLE,,
Sciences & Nature,https://www.ajol.info/index.php/scinat,,1812-0741,,INACTIVE-TITLE,,
SINET: Ethiopian Journal of Science,https://www.ajol.info/index.php/sinet,0379-2897,2520–7997,,INACTIVE-TITLE,,
"Southern Africa Journal of Education, Science and Technology",https://www.ajol.info/index.php/sajest,,1819-3692,,INACTIVE-TITLE,,
Studies in Gender and Development in Africa,https://www.ajol.info/index.php/sigada,,0855-9449,,INACTIVE-TITLE,,
Tanzania Journal of Agricultural Sciences,https://www.ajol.info/index.php/tjags,,,,INACTIVE-TITLE,,
Thought and Practice,https://www.ajol.info/index.php/tp,0251-043X,2076-7714,,INACTIVE-TITLE,,
Town and Regional Planning,https://www.ajol.info/index.php/trp,1012-280X,2415-0495,,INACTIVE-TITLE,,DOAJ
Uganda Journal of Agricultural Sciences,https://www.ajol.info/index.php/ujas,1026-0919,2410-6909,,INACTIVE-TITLE,,
University of Mauritius Research Journal,https://www.ajol.info/index.php/umrj,,1694-0342,,INACTIVE-TITLE,,
West African Journal of Medicine,https://www.ajol.info/index.php/wajm,,0189-160X,,INACTIVE-TITLE,,
Zede Journal,https://www.ajol.info/index.php/zj,0514-6216,,,INACTIVE-TITLE,,
Rwanda Journal of Agricultural Sciences,https://www.ajol.info/index.php/rjeas,,2707-7209,,BLANK,,
"Rwanda Journal of Social Sciences, Humanities and Business",https://www.ajol.info/index.php/rjsshb,,,,BLANK,,
